source_id	url	source_type	redistribution_note
charmin_ultra_strong_regular	https://shop.charmin.com/ultra-strong-regular-roll/	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
charmin_forever_roll	https://shop.charmin.com/forever-roll-starter-kit-holder-stand-included-2-roll/	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_us_1102910	https://www.torkglobal.com/us/en/product/toilet-paper/refills/mid-size-rolls/1102910	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_ie_101408	https://www.torkglobal.com/ie/en/product/toilet-paper/refills/conventional-toilet-paper/101408	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_au_2170329	https://www.torkglobal.com/au/en/product/toilet-paper/refills/conventional-rolls/2170329	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_gb_dispenser_557000	https://www.torkglobal.com/gb/en/product/toilet-paper/dispensers/conventional-roll-dispensers/557000	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
kc_scott_13217	https://www.kcprofessional.com/en-us/products/restroom-and-hygiene/toilet-paper-and-seat-covers/standard-roll/core/scott%C2%AE-standard-roll-toilet-paper-(2-ply-srb)/13217	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tesco_luxury_297444884	https://www.tesco.com/groceries/en-GB/products/297444884	retailer_html	Copyrighted retailer record; cite URL and extracted facts, do not redistribute snapshot
elleair_single	https://www.elleair.jp/product/detail/toilet_toilet-tissue_single	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
elleair_double	https://www.elleair.jp/product/detail/toilet_toilet-tissue_double	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
nepia_width_change_release	https://www.nepia.co.jp/company/news_release/news20240326.pdf	manufacturer_pdf	Copyrighted manufacturer release; cite URL and extracted facts, do not redistribute snapshot
nepia_product_design_width	https://www.nepia.co.jp/pdf/sustainability/productdesign/products_b.pdf	manufacturer_pdf	Copyrighted sustainability evidence; cite URL and extracted facts, do not redistribute snapshot
katrin_169505	https://www.metsagroup.com/katrin/products/toilet-paper/toilet-paper-roll/169505-katrin-toilet-paper-roll-250-sheets-2-ply/	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
katrin_104834	https://www.metsagroup.com/contentassets/c6bc3da19e63405682fe98dcbb8d174e/104834_katrin_en.pdf	manufacturer_pdf	Copyrighted technical sheet; cite URL and extracted facts, do not redistribute snapshot
quilton_standard	https://www.quilton.com.au/products/3-ply-toilet-paper	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
quilton_kingsize	https://www.quilton.com.au/products/quilton-king-size	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
quilton_double_length	https://www.quilton.com.au/products/double-length-toilet-tissue	manufacturer_html	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
quilton_faq	https://www.quilton.com.au/pages/faqs	manufacturer_html	Copyrighted manufacturer FAQ; cite URL and extracted facts, do not redistribute snapshot
us_dla_aa59594a	https://www.dla.mil/Portals/104/Documents/TroopSupport/Subsistence/Rations/cids/59594A.pdf	government_pdf	US federal work; generally public domain, verify any embedded third-party material
us_dla_aa59594a_quicksearch	https://quicksearch.dla.mil/WMX/Default.aspx?token=5710999	government_html	US federal work; generally public domain, cite official QuickSearch record
us_epa_cpg_paper	https://www.epa.gov/smm/comprehensive-procurement-guidelines-paper-and-paper-products	government_html	US federal work; generally public domain, cite current page
us_access_board_ada_ch6	https://www.access-board.gov/ada/chapter/ch06/	government_html	US federal work; generally public domain, cite current page
eu_ecolabel_paper	https://environment.ec.europa.eu/topics/circular-economy-topics/eu-ecolabel/product-groups-and-criteria/paper_en	government_html	European Commission reuse policy applies; cite source and attribution
eu_decision_2019_70	https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019D0070	government_html	EU legal text; reuse subject to EUR-Lex notice
