source_id,source_type,title,organization_or_authors,year,geography_or_market,url_or_doi,access_date,evidence_class,local_snapshot,scope_or_key_use,limitations
S01,manufacturer-sponsored LCA,"LCA of plastic and paper straws for portion-sized carton packages","thinkstep / Tetra Pak",2019,Europe,https://www.tetrapak.com/content/dam/tetrapak/publicweb/gb/en/sustainability/documents/LCA-paper-plastic-straws.pdf,2026-09-24,manufacturer-sponsored study,data/raw/straw_sources/tetrapak_2019_lca_paper_plastic_straws.pdf,"100 mm straw specifications; 200 mL pack; cradle-to-grave comparison; insertion description","European assumptions; functional equivalence assumed; litter and marine impacts excluded"
S02,standard preview,"ISO 18188:2016 — Specification of polypropylene drinking straws","International Organization for Standardization",2016,International,https://www.iso.org/standard/61726.html,2026-09-24,standards-derived,data/raw/straw_sources/iso_18188_2016_preview.pdf,"PP diameter/length tolerances; wall-thickness floor; bend/heat/cold tests","PP only; preview is not the complete standard; not a paper-straw requirement"
S03,peer-reviewed article,"Evaluation of paper straws versus plastic straws: Development of a methodology for testing and understanding challenges for paper straws","Gutierrez et al.",2019,United States laboratory study,https://doi.org/10.15376/biores.14.4.8345-8363,2026-09-24,independent measured,data/raw/straw_sources/gutierrez_2019_paper_straw_mechanics.pdf,"Measured dimensions/mass; wet-strength; liquid uptake; contact angle","Seven selected commercial products; controlled immersion/compression tests; not population prevalence or direct user performance"
S04,manufacturer datasheet,"PSRB paper straw datasheet","Huhtamaki",unknown,Product manufactured in China,https://assets.huhtamaki.com/datasheets/htp/en/PSRB.pdf,2026-09-24,manufacturer-provided,data/raw/straw_sources/huhtamaki_PSRB_datasheet.pdf,"197 × 6 mm paper straw; 3-ply; carton dimensions and net/gross mass","The field 'Package Weight: 3.3 g' conflicts with carton data and is not used as unit mass"
S05,manufacturer datasheet,"Paper Straw, individually packed, item 421001","Franz Mensch",unknown,Product manufactured in China,https://www.franz-mensch.de/en/downloadfile?file=%2Ffiles%2Fdocuments%2FTDB%2F421001%2F421001_TDB_EN.pdf,2026-09-24,manufacturer-provided average,data/raw/straw_sources/franz_mensch_421001_datasheet.pdf,"197 × 6 mm; approximately 1.08 g; PE individual packaging; carton quantity/dimensions/mass","Datasheet states average production values may deviate; gross carton mass includes packaging"
S06,manufacturer datasheet,"Data Sheet Specification of U-Straw (200 ml), SP 200","Essalam Latex & Plastic Works / Baron",2017,Application for 200 mL packs,https://baron-egypt.com/files/data-sheet/200ml-Compi-block-Specification-U-straw.pdf,2026-09-24,manufacturer-provided,data/raw/straw_sources/baron_200ml_u_straw_datasheet.pdf,"PP U-straw dimensions/tolerances/mass; wrap; applicator compatibility; carton count and dimensions","Supplier document; no independent verification; no external container geometry"
S07,manufacturer press release,"SIG expands paper straw portfolio","SIG",2021,Commercial aseptic-carton systems,https://api.sig.biz/media/x53pngzw/sig-paper-straw-portfolio-en.pdf,2026-09-24,manufacturer-provided,data/raw/straw_sources/sig_2021_paper_straw_portfolio.pdf,"Telescopic paper straw 102→165 mm and 4.6 mm diameter; U-straw diameters; puncture and applicator claims","No wall thickness, mass, packaging dimensions, puncture force, or independent verification"
S08,manufacturer product page,"SIG xSlimBloc","SIG",2026,Commercial aseptic-carton systems,https://www.sig.biz/en/solutions/package-finder/sig-xslimbloc,2026-09-24,manufacturer-provided,data/raw/straw_sources/sig_xslimbloc.html,"80–200 mL formats; 6 and 8 mm straw-hole options","No verified external or internal pack dimensions on the captured page"
S09,peer-reviewed article,"Comparative Study of a Life Cycle Assessment for Bio-Plastic Straws and Paper Straws: Malaysia's Perspective","Moy et al.",2021,Malaysia,https://doi.org/10.3390/pr9061007,2026-09-24,peer-reviewed model,data/raw/straw_sources/moy_2021_malaysia_straw_lca.pdf,"Gate-to-grave/modelled PLA-paper comparison; 100-straw functional unit; GWP/AP/EP","Literature and SuperPro simulation; different masses per 100 straws; equal service not demonstrated; disposal split is assumed"
S10,peer-reviewed article,"Comparative life cycle assessment of drinking straws in Brazil","Zanghelini et al.",2020,Brazil,https://doi.org/10.1016/j.jclepro.2020.123070,2026-09-24,peer-reviewed LCA,data/raw/straw_sources/abstract_and_press_evidence_fetch_2026-09-24.txt,"Six materials; cradle-to-grave; annual-use basis; reuse/washing/end-of-life/marine-litter sensitivity","Full article not locally available; this report uses publisher-indexed abstract-level findings only"
