value_id,value,unit,source_file,method,status,manuscript_location
baseline_width_mm,114.0,mm,config/scenarios.json,configured illustrative baseline,HYPOTHETICAL_SCENARIO,Abstract; Methods 2.3; Results 3.2
primary_candidate_width_mm,95.0,mm,config/scenarios.json,configured illustrative candidate,HYPOTHETICAL_SCENARIO,Abstract; Methods 2.3; Results 3.2
patent_contrast_count,9.0,contrasts,data/processed/pg_patent_table2_width_contrasts.csv,row count,CALCULATED_FROM_PATENT_TABLE,Results 3.1
patent_positive_contrasts,4.0,contrasts,data/processed/pg_patent_table2_width_contrasts.csv,count material_saving_fraction > 0,CALCULATED_FROM_PATENT_TABLE,Results 3.1
patent_negative_contrasts,5.0,contrasts,data/processed/pg_patent_table2_width_contrasts.csv,count material_saving_fraction < 0,CALCULATED_FROM_PATENT_TABLE,Abstract; Results 3.2
patent_saving_min,-0.2,fraction,data/processed/pg_patent_table2_width_contrasts.csv,minimum,CALCULATED_FROM_PATENT_TABLE,Results 3.1
patent_saving_max,0.183824,fraction,data/processed/pg_patent_table2_width_contrasts.csv,maximum,CALCULATED_FROM_PATENT_TABLE,Results 3.1
primary_width_break_even_longitudinal_ratio,1.2,ratio,tables/table_2_width_scenarios.csv,baseline width / candidate width,ANALYTICAL_BOUNDARY,Results 3.2
primary_width_zero_compensation_saving,0.16666666666666663,fraction,tables/table_2_width_scenarios.csv,1 - width ratio,HYPOTHETICAL_SCENARIO,Results 3.2
primary_width_break_even_consumption_increase,0.19999999999999996,fraction,tables/table_2_width_scenarios.csv,break-even longitudinal ratio minus one,ANALYTICAL_BOUNDARY,Results 3.2; Discussion 4.3
center_low_task_mix_saving,0.09999999999999998,fraction,tables/table_3_center_perforation_scenarios.csv,task-mixture expectation,HYPOTHETICAL_SCENARIO,Results 3.3
center_mid_task_mix_saving,0.19999999999999996,fraction,tables/table_3_center_perforation_scenarios.csv,task-mixture expectation,HYPOTHETICAL_SCENARIO,Results 3.3
center_high_task_mix_saving,0.30000000000000004,fraction,tables/table_3_center_perforation_scenarios.csv,task-mixture expectation,HYPOTHETICAL_SCENARIO,Results 3.3
straw_primary_length_reduction,0.2,fraction,config/scenarios.json,configured primary straw scenario,HYPOTHETICAL_SCENARIO,Abstract; Methods 2.7; Results 3.4
straw_primary_expected_replacement_rate_break_even,0.25,fraction,tables/table_4_straw_break_even.csv,1/(1-length reduction)-1 at configured primary reduction,ANALYTICAL_BOUNDARY,Abstract; Results 3.4; Results 3.7
straw_primary_failure_probability_break_even,0.19999999999999996,fraction,tables/table_4_straw_break_even.csv,1 - (1-length reduction)/(1-shifted burden) at configured primary reduction,ANALYTICAL_BOUNDARY,Abstract; Results 3.4; Results 3.7
straw_10pct_length_reduction,0.1,fraction,config/scenarios.json,configured fixed straw comparison row,HYPOTHETICAL_SCENARIO,Results 3.4
straw_20pct_length_reduction,0.2,fraction,config/scenarios.json,configured fixed straw comparison row,HYPOTHETICAL_SCENARIO,Results 3.4
straw_30pct_length_reduction,0.3,fraction,config/scenarios.json,configured fixed straw comparison row,HYPOTHETICAL_SCENARIO,Results 3.4
straw_10pct_expected_replacement_rate_break_even,0.11111111111111116,fraction,tables/table_4_straw_break_even.csv,1/(1-length reduction)-1,ANALYTICAL_BOUNDARY,Results 3.4
straw_20pct_expected_replacement_rate_break_even,0.25,fraction,tables/table_4_straw_break_even.csv,1/(1-length reduction)-1,ANALYTICAL_BOUNDARY,Results 3.4
straw_30pct_expected_replacement_rate_break_even,0.4285714285714286,fraction,tables/table_4_straw_break_even.csv,1/(1-length reduction)-1,ANALYTICAL_BOUNDARY,Results 3.4
straw_10pct_failure_probability_break_even,0.09999999999999998,fraction,tables/table_4_straw_break_even.csv,1 - (1-length reduction)/(1-shifted burden),ANALYTICAL_BOUNDARY,Results 3.4
straw_20pct_failure_probability_break_even,0.19999999999999996,fraction,tables/table_4_straw_break_even.csv,1 - (1-length reduction)/(1-shifted burden),ANALYTICAL_BOUNDARY,Results 3.4
straw_30pct_failure_probability_break_even,0.30000000000000004,fraction,tables/table_4_straw_break_even.csv,1 - (1-length reduction)/(1-shifted burden),ANALYTICAL_BOUNDARY,Results 3.4
