case,iterations,mean,median,probability_positive
toilet_width,10000,0.06340592357954836,0.06825362405091145,0.873
toilet_width,50000,0.06359061571550009,0.0684418659286179,0.87818
toilet_width,100000,0.06356952382797927,0.06847763526331097,0.87858
toilet_width,200000,0.06359441981634716,0.06847625410010477,0.87883
center_perforation,10000,0.14894684815030773,0.14154609369555943,0.9916
center_perforation,50000,0.14997435035364506,0.1419442036768342,0.9911
center_perforation,100000,0.15011023536174065,0.1424113478620544,0.99143
center_perforation,200000,0.14974262176984537,0.14187989952047575,0.991755
straw,10000,0.06806930324695638,0.07777266161383173,0.831
straw,50000,0.06826799829465814,0.07756482041451734,0.83342
straw,100000,0.06822902710208659,0.07750585741586558,0.83298
straw,200000,0.06830455810013879,0.07770861424363351,0.832685
