case,parameter,value,material_saving_fraction
toilet_width,width_compensation_elasticity,-1.25,-0.04663513939210562
toilet_width,width_compensation_elasticity,-1.0,0.0
toilet_width,width_compensation_elasticity,-0.75,0.044557207795633214
toilet_width,width_compensation_elasticity,-0.5,0.0871290708247231
toilet_width,width_compensation_elasticity,-0.25,0.12780405050657873
toilet_width,width_compensation_elasticity,0.0,0.16666666666666663
toilet_width,width_compensation_elasticity,0.25,0.20379767316302766
center_perforation,half_suitable_task_probability,0.0,0.0
center_perforation,half_suitable_task_probability,0.2,0.07999999999999996
center_perforation,half_suitable_task_probability,0.4,0.16000000000000003
center_perforation,half_suitable_task_probability,0.6000000000000001,0.24
center_perforation,half_suitable_task_probability,0.8,0.32000000000000006
center_perforation,half_suitable_task_probability,1.0,0.4
straw_expected_rate,expected_additional_replacement_rate,0.0,0.19999999999999996
straw_expected_rate,expected_additional_replacement_rate,0.1,0.11999999999999988
straw_expected_rate,expected_additional_replacement_rate,0.2,0.040000000000000036
straw_expected_rate,expected_additional_replacement_rate,0.3,-0.040000000000000036
straw_expected_rate,expected_additional_replacement_rate,0.4,-0.11999999999999988
straw_failure_probability,independent_per_attempt_failure_probability,0.0,0.19999999999999996
straw_failure_probability,independent_per_attempt_failure_probability,0.1,0.11111111111111105
straw_failure_probability,independent_per_attempt_failure_probability,0.2,0.0
straw_failure_probability,independent_per_attempt_failure_probability,0.3,-0.14285714285714302
straw_failure_probability,independent_per_attempt_failure_probability,0.4,-0.3333333333333335
